datetime,total_trips,total_airport_trips,average_charge,temperature_2m (°C),precipitation (mm),wind_speed_100m (km/h),rain (mm),snowfall (cm),DGASNYH
2024-01-01 00:00:00,6596,212,26.82852789569436,1.8,0.0,20.4,0.0,0.0,2.5504924924924923
2024-01-01 01:00:00,7355,65,27.943827328348064,2.8,0.0,20.9,0.0,0.0,2.5504924924924923
2024-01-01 02:00:00,6220,19,27.42159003215434,2.9,0.0,18.3,0.0,0.0,2.5504924924924923
2024-01-01 03:00:00,4936,17,27.288267828200976,2.8,0.0,16.5,0.0,0.0,2.5504924924924923
2024-01-01 04:00:00,3188,22,27.11644918444166,0.7,0.0,14.5,0.0,0.0,2.5504924924924923
2024-01-01 05:00:00,1522,54,28.777956636005257,0.2,0.0,11.9,0.0,0.0,2.5504924924924923
2024-01-01 06:00:00,1532,196,33.61367493472585,1.5,0.0,9.4,0.0,0.0,2.5504924924924923
2024-01-01 07:00:00,1378,210,35.536806966618286,1.9,0.0,8.9,0.0,0.0,2.5504924924924923
2024-01-01 08:00:00,1204,202,36.6234219269103,3.2,0.0,9.4,0.0,0.0,2.5504924924924923
2024-01-01 09:00:00,1430,294,34.71092307692308,3.8,0.0,9.8,0.0,0.0,2.5504924924924923
2024-01-01 10:00:00,2263,420,31.619597878921784,4.7,0.0,9.4,0.0,0.0,2.5504924924924923
2024-01-01 11:00:00,2974,322,28.13296906523201,5.6,0.0,8.3,0.0,0.0,2.5504924924924923
2024-01-01 12:00:00,3753,311,26.768172128963496,6.7,0.0,7.6,0.0,0.0,2.5504924924924923
2024-01-01 13:00:00,3743,380,29.72897408495859,7.7,0.0,10.1,0.0,0.0,2.5504924924924923
2024-01-01 14:00:00,4310,393,30.23968445475638,7.5,0.0,10.3,0.0,0.0,2.5504924924924923
2024-01-01 15:00:00,4650,552,30.559916129032256,7.3,0.0,11.0,0.0,0.0,2.5504924924924923
2024-01-01 16:00:00,4261,643,32.56893921614645,7.0,0.0,12.1,0.0,0.0,2.5504924924924923
2024-01-01 17:00:00,3813,556,30.90024127983215,4.8,0.0,11.0,0.0,0.0,2.5504924924924923
2024-01-01 18:00:00,3702,557,30.6159886547812,3.3,0.0,11.3,0.0,0.0,2.5504924924924923
2024-01-01 19:00:00,3253,578,32.217470027666764,2.0,0.0,12.8,0.0,0.0,2.5504924924924923
2024-01-01 20:00:00,2805,569,32.6975008912656,2.2,0.0,24.3,0.0,0.0,2.5504924924924923
2024-01-01 21:00:00,2462,481,32.46333468724614,1.7,0.0,27.7,0.0,0.0,2.5504924924924923
2024-01-01 22:00:00,2187,667,38.24385916780978,0.7,0.0,27.5,0.0,0.0,2.5504924924924923
2024-01-01 23:00:00,1476,560,41.48705284552845,-0.3,0.0,26.9,0.0,0.0,2.5504924924924923
2024-01-02 00:00:00,967,318,37.05261633919338,-1.1,0.0,25.8,0.0,0.0,2.215
2024-01-02 01:00:00,428,106,35.1475,-1.8,0.0,25.0,0.0,0.0,2.215
2024-01-02 02:00:00,244,42,36.86795081967213,-2.2,0.0,23.0,0.0,0.0,2.215
2024-01-02 03:00:00,234,65,45.12833333333334,-2.8,0.0,21.7,0.0,0.0,2.215
2024-01-02 04:00:00,285,31,43.60838596491228,-3.4,0.0,21.1,0.0,0.0,2.215
2024-01-02 05:00:00,643,138,43.42475894245723,-3.9,0.0,20.3,0.0,0.0,2.215
2024-01-02 06:00:00,1454,217,33.279105914718016,-4.2,0.0,18.6,0.0,0.0,2.215
